1431999556000,2.758
1431999617000,2.76
1431999678000,2.762
1431999739000,2.761
1431999800000,2.758
1431999861000,2.758
1431999922000,2.762
1432000044000,2.759
1432000105000,2.761
1432000166000,2.757
1432000227000,2.758
1432000288000,2.759
1432000349000,2.757
1432000471000,2.758
1432000532000,2.761
1432000593000,2.76
1432000654000,2.757
1432000715000,2.761
1432000776000,2.758
1432000837000,2.76
1432000898000,2.759
1432000959000,2.76
1432001020000,2.76
1432001081000,2.758
1432001142000,2.758
1432001203000,2.759
1432001264000,2.758
1432001325000,2.7585
1432001386000,2.759
1432001447000,2.762
1432001508000,2.759
1432001569000,2.76
1432001630000,2.761
1432001691000,2.761
1432001752000,2.759
1432001813000,2.761
1432001874000,2.757
1432001935000,2.758
1432001996000,2.76
1432002057000,2.76
1432002118000,2.758
1432002179000,2.757
1432002240000,2.759
1432002301000,2.759
1432002362000,2.759
1432002423000,2.762
1432002484000,2.756
1432002545000,2.758
1432002606000,2.758
1432002667000,2.76
1432002728000,2.758
1432002789000,2.759
1432002850000,2.759
1432002911000,2.758
1432002972000,2.759
1432003033000,2.758
1432003094000,2.759
1432003155000,2.759
1432003216000,2.759
1432003277000,2.761
1432003338000,2.759
1432003399000,2.759
1432003460000,2.762
1432003521000,2.76
1432003582000,2.756
1432003643000,2.759
1432003704000,2.759
1432003765000,2.758
1432003826000,2.757
1432003887000,2.758
1432003948000,2.761
1432004009000,2.759
1432004070000,2.761
1432004131000,2.76
1432004192000,2.759
1432004253000,2.757
1432004314000,2.759
1432004375000,2.755
1432004436000,2.759
1432004497000,2.758
1432004558000,2.76
1432004619000,2.761
1432004680000,2.757
1432004741000,2.759
1432004802000,2.76
1432004863000,2.76
1432004924000,2.7595
1432004985000,2.758
1432005046000,2.759
1432005107000,2.76
1432005168000,2.76
1432005229000,2.756
1432005290000,2.76
1432005351000,2.757
1432005412000,2.76
1432005473000,2.758
1432005534000,2.761
1432005595000,2.76
1432005656000,2.759
1432005717000,2.759
1432005778000,2.758
1432005839000,2.76
1432005900000,2.763
1432005961000,2.759
1432006022000,2.76
1432006083000,2.757
1432006144000,2.758
1432006205000,2.759
1432006266000,2.758
1432006327000,2.758
1432006388000,2.76
1432006449000,2.76
1432006510000,2.759
1432006571000,2.758
1432006632000,2.758
1432006693000,2.759
1432006754000,2.757
1432006815000,2.758
1432006876000,2.76
1432006937000,2.761
1432006998000,2.759
1432007059000,2.762
1432007120000,2.76
1432007181000,2.76
1432007242000,2.757
1432007303000,2.757
1432007364000,2.757
1432007425000,2.759
1432007486000,2.757
1432007547000,2.76
1432007608000,2.76
1432007669000,2.759
1432007730000,2.758
1432007791000,2.761
1432007852000,2.758
1432007913000,2.758
1432007974000,2.758
1432008035000,2.759
1432008096000,2.759
1432008157000,2.758
1432008218000,2.759
1432008279000,2.761
1432008340000,2.761
1432008401000,2.758
1432008462000,2.758
1432008523000,2.759
1432008584000,2.76
1432008645000,2.759
1432008706000,2.76
1432008767000,2.759
1432008828000,2.756
1432008889000,2.757
1432008950000,2.76
1432009011000,2.756
1432009072000,2.763
1432009133000,2.76
1432009194000,2.76
1432009255000,2.761
1432009316000,2.759
1432009377000,2.758
1432009438000,2.759
1432009499000,2.761
1432009560000,2.762
1432009621000,2.758
1432009682000,2.758
1432009743000,2.76
1432009804000,2.758
1432009865000,2.759
1432009926000,2.758
1432009987000,2.759
1432010048000,2.757
1432010109000,2.759
1432010170000,2.759
1432010231000,2.758
1432010292000,2.759
1432010353000,2.759
1432010414000,2.76
1432010475000,2.76
1432010536000,2.761
1432010597000,2.759
1432010658000,2.76
1432010719000,2.761
1432010780000,2.758
1432010841000,2.762
1432010902000,2.761
1432010963000,2.759
1432011024000,2.761
1432011085000,2.76
